# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.65464906    0.34634547   -0.15954405    0.00051350    0.89201804   -0.42317644    0.56246696   -0.38195216
    0.03309390   -0.74670168   -0.15750454    0.00096051    0.88960622   -0.37947970   -0.42930607    0.56922617
    0.65716135   -0.34591693    0.16043111    0.00000925    0.89082285    0.42570368   -0.56372224    0.38202937
    0.65711972   -0.34592541    0.16043652    0.00000273    0.89083489    0.42567140   -0.56369184    0.38203948
   -0.66163472    0.34518971   -0.15956449    0.00068530    0.89007849   -0.42894795    0.56721309   -0.38095785
   -0.66064105    0.34525681   -0.15948970    0.00066021    0.89025538   -0.42813283    0.56653213   -0.38097827
    0.66125345    0.34519972   -0.15945705    0.00081305    0.89011834    0.56698489   -0.42860211   -0.38091208
   -0.01928907   -0.73391831   -0.15950351    0.00024624    0.89711725   -0.41437116   -0.38532942    0.55710061
    0.01863469    0.73339117    0.15800549    0.00024649    0.89738853    0.41288995    0.38483345   -0.55740188
   -0.64641153    0.34965351   -0.15982094    0.00030309    0.89644956   -0.41567781    0.55756312   -0.38496809
   -0.63657766    0.35717619   -0.15989420    0.00003524    0.90285086   -0.40504239    0.55339260   -0.39154441
    0.01920969    0.73371491    0.15795892    0.00015597    0.89711062    0.41343991    0.38451769   -0.55770690
    0.02042676    0.73442671    0.15796182    0.00006846    0.89642497    0.41466696    0.38391232   -0.55832417
    0.65708638   -0.34593779    0.16047154    0.00002814    0.89081696    0.42565868   -0.56365437    0.38206800
    0.01424888    0.73132551    0.15787771    0.00072032    0.89964009    0.40862572    0.38717252   -0.55567106
    0.66300155   -0.34522602    0.16016268    0.00067807    0.88976293    0.43026440   -0.56795455    0.38129270
    0.01556278    0.73191045    0.15808783    0.00060154    0.89890697    0.40997558    0.38654417   -0.55607299
