[Header]
TITLE,20201219-Sample 4.9mg.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,4.9,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3817585638.98082,,1857,22.21,22.21,0.14560908,9.8999999E-6,22.242719,0.44716736,107.88233,0.2616,140.73039,0.1359,248.61272,0.2616,0.6908918,9.4586972,0.30256816,87.928995,,,1,,,,2.6986557E-5,18.672343,494.73857,4.8502311,0
3817585719.00741,,1857,22.21,22.21,0.13347499,9.8999999E-6,22.237196,0.45051436,107.94617,0.2386,140.67202,0.1358,248.61819,0.2386,1.620622,9.5046564,0.30819235,87.776699,,,1,,,,2.6867853E-5,18.917394,494.49288,4.8543066,0
3817585977.16295,,1857,20.0899,20.0899,0.14560908,9.8999999E-6,20.147851,0.42960775,90.293961,0.2746,115.57792,0.1045,205.87188,0.2746,0.20130966,8.512922,0.26086247,88.416539,,,1,,,,2.4812702E-5,19.009313,405.93589,4.4815679,0
3817586050.79534,,1857,20.0902,20.0902,0.13347499,9.8999999E-6,20.11717,0.40211167,90.763916,0.2165,115.26405,0.1041,206.02797,0.2165,0.71662171,8.6466638,0.27713512,87.926845,,,1,,,,2.4484043E-5,17.025844,404.70054,4.5117636,0
3817586125.82559,,1857,20.0902,20.0902,0.097072721,9.8999999E-6,20.112611,0.4068211,90.842572,0.1889,115.18713,0.104,206.0297,0.1889,1.9685948,8.681974,0.2777428,87.949018,,,1,,,,2.4384383E-5,17.293328,404.51714,4.516697,0
3817586359.77879,,1857,18.173,18.173,0.14560908,9.8999999E-6,18.215282,0.38327101,78.287738,0.2114,94.178486,0.08659,172.46622,0.2114,0.23126273,7.926054,0.24120435,88.524301,,,1,,,,2.2359391E-5,17.363948,331.79648,4.2979153,0
3817586429.78495,,1857,18.1732,18.1732,0.13347499,9.8999999E-6,18.192753,0.36344013,78.725666,0.1668,93.982472,0.08649,172.70814,0.1668,1.0186995,8.0401992,0.25341929,88.143405,,,1,,,,2.2101078E-5,15.852108,330.97626,4.3273092,0
3817586500.68279,,1857,18.1728,18.1728,0.18201135,9.8999999E-6,18.189171,0.3667544,78.781567,0.1586,93.951429,0.08647,172.733,0.1586,2.4855282,8.0737622,0.25622418,88.067581,,,1,,,,2.2017712E-5,16.080398,330.84594,4.3312346,0
3817586709.32308,,1857,16.4384,16.4384,0.15774317,9.8999999E-6,16.474489,0.34128136,70.16882,0.1942,76.522972,0.07554,146.69179,0.1942,0.1915618,7.4938431,0.22474965,88.688815,,,1,,,,2.0164424E-5,16.147524,271.40879,4.259241,0
3817586777.77228,,1857,16.4382,16.4382,0.15774317,9.8999999E-6,16.45547,0.3274216,70.539313,0.1476,76.354551,0.07536,146.89386,0.1476,1.0232532,7.6037853,0.23323578,88.444489,,,1,,,,1.991956E-5,14.987686,270.78251,4.2866786,0
